time,Flow,Tidal Vol,Lung Vol,Lung Press,
4.872926605,1.54636039,771.3570834,2771.357083,15.69959505,
4.873341311,1.516186838,771.3766346,2771.376635,15.69653739,
4.873829304,1.482291678,771.3993244,2771.399324,15.6929633,
4.874412265,1.443992904,771.4259852,2771.425985,15.68873334,
4.87511026,1.401081291,771.4572771,2771.457277,15.68373422,
4.876008697,1.35015514,771.496561,2771.496561,15.67741894,
4.877229538,1.287796986,771.5481909,2771.548191,15.66907868,
4.879205844,1.200723006,771.6276585,2771.627658,15.65622718,
4.883211836,1.062965619,771.7743336,2771.774334,15.63280117,
4.888191651,0.93938689,771.9331559,2771.933156,15.60845351,
4.89381169,0.838806359,772.08662,2772.08662,15.58652697,
4.900356077,0.751795181,772.2380831,2772.238083,15.56689851,
4.908162615,0.670057117,772.3894261,2772.389426,15.54953405,
4.916986128,0.596589753,772.5317345,2772.531735,15.53529882,
4.928317776,0.536031406,772.6822065,2772.682206,15.5229296,
4.93966853,0.503791146,772.8081771,2772.808177,15.51553671,
4.95202647,0.481271596,772.9275607,2772.927561,15.51116087,
4.967233408,0.4624635,773.0589019,2773.058902,15.50874934,
4.970726311,0.459099114,773.0874129,2773.087413,15.50849111,
4.970726435,0.459099002,773.0874139,2773.087414,15.5084911,
4.970726941,0.459098535,773.087418,2773.087418,15.50849107,
4.970743453,0.459073781,773.0875516,2773.087552,15.50849004,
4.970861028,0.456780407,773.0885026,2773.088503,15.50847918,
4.970989411,0.433400305,773.0895403,2773.08954,15.50842723,
4.971139396,0.346745262,773.0907509,2773.090751,15.50822071,
4.971217044,0.26399436,773.091376,2773.091376,15.50800534,
4.971305551,0.138540379,773.0920862,2773.092086,15.5076423,
4.971380619,0.022637699,773.0926857,2773.092686,15.50725065,
4.971402958,-0.013019998,773.0928634,2773.092863,15.50711967,
4.971456981,-0.100712737,773.0932917,2773.093292,15.50677654,
4.971575954,-0.295223385,773.0942263,2773.094226,15.50589676,
4.971681422,-0.464459973,773.0950426,2773.095043,15.50498611,
4.971789193,-0.632337465,773.0958624,2773.095862,15.50393825,
4.972073056,-1.05701331,773.0979355,2773.097936,15.50064983,
4.972881846,-2.252421417,773.1028656,2773.102866,15.4871919,
4.974435127,-4.537267085,773.105788,2773.105788,15.44563999,
4.975988408,-6.809624002,773.0956999,2773.0957,15.38565429,
4.977683332,-9.275727281,773.0644299,2773.06443,15.30188437,
4.979928619,-12.52828493,772.9819508,2772.981951,15.16565067,
4.98281716,-16.69793709,772.792265,2772.792265,14.95495564,
4.986172923,-21.4216927,772.4329997,2772.433,14.67074118,
4.989738951,-26.14714427,771.8670003,2771.867,14.33592874,
4.993971806,-31.48272923,770.9295288,2770.929529,13.90686504,
4.999928149,-38.2426266,769.1005655,2769.100566,13.2705468,
5.00548638,-43.71420164,766.8557057,2766.855706,12.67572811,
5.009063325,-46.36399249,765.1459142,2765.145914,12.3114855,
5.013794959,-48.48623916,762.5943936,2762.594394,11.88132117,
5.020434862,-50.01769596,758.5538896,2758.55389,11.38803353,
5.028966181,-50.82991074,752.7892597,2752.78926,10.91666732,
5.038906124,-51.24866874,745.5517138,2745.551714,10.52093124,
5.050025969,-51.43715713,737.0615406,2737.061541,10.19025148,
5.060862717,-51.33468561,728.5588405,2728.558841,9.934702451,
5.077460583,-50.22392943,715.3674164,2715.367416,9.655552366,
5.096225666,-48.6624543,700.5657771,2700.565777,9.443299411,
5.123239675,-46.53646683,679.8574917,2679.857492,9.205239326,
5.176209165,-42.82286423,641.6389837,2641.638984,8.792972098,
5.286639733,-35.92726815,571.4229599,2571.42296,8.049316676,
5.402046624,-29.72134222,510.1817954,2510.181795,7.413230546,
5.466325916,-26.89455887,480.7471438,2480.747144,7.096216431,
5.536367697,-24.22417767,451.7878664,2451.787866,6.767360638,
5.635986055,-20.57120165,415.6064111,2415.606411,6.379111828,
5.748990597,-16.44323129,381.5406157,2381.540616,6.076928344,
5.824531148,-13.8531109,362.8388083,2362.838808,5.944277858,
5.929280554,-10.88249703,341.715704,2341.715704,5.803266508,
6.033338993,-8.597371359,325.193128,2325.193128,5.689659173,
6.137397432,-6.821761285,312.1186757,2312.118676,5.59662719,
6.24145587,-5.438323833,301.7266183,2301.726618,5.520013832,
